tick,agent_id,action,action_name,message,reasoning,pool_pct,own_herd,payoff_add,payoff_keep,payoff_remove
11,0,0,KEEP,"Holding steady at 6 cows. Agent 2, your continued reductions are genuinely appreciated — thank you. Agent 1, the commons is healthy partly because of collective restraint. I'd still encourage moving c",,99.4,6,13.851,12.0,10.145
11,1,0,KEEP,"Thank you Agent 2 for reducing again — your consistent effort is appreciated. Agent 0, your restraint at 6 is noted. I'll hold at 14 to maintain balance. The commons looks great; let's keep coordinati",,99.4,14,29.851,28.0,26.145
11,2,-1,REMOVE,"Reducing to 17 cows. Agent 0, you're right — the imbalance is unfair. I'll keep reducing gradually. Agent 1, thank you for holding steady at 14. I aim to get closer to a fair share. The commons is hea",,99.4,18,37.851,36.0,34.145
12,2,-1,REMOVE,"Reducing to 16 cows. Agent 0, your restraint at 6 is remarkable and I feel I should keep moving toward better balance. Agent 1, thank you for holding at 14. The commons looks great — let's maintain th",,99.5,17,35.858,34.0,32.137
12,0,1,ADD,"Adding one cow to 7 — the commons is healthy and both of you are acting responsibly. Agent 2, thank you for reducing again. Agent 1, thanks for holding. I'm still well below both of you, but this smal",,99.5,6,13.858,12.0,10.137
12,1,0,KEEP,"Thank you Agent 2 for continuing to reduce — your commitment to fairness is appreciated. Agent 0, welcome back to adding, though the commons is healthy so I understand. I'll hold steady at 14 to maint",,99.5,14,29.858,28.0,26.137
13,0,0,KEEP,"Holding at 7 cows. Agent 2, your continued reductions are admirable — thank you. Agent 1, steady at 14 is appreciated. The commons is thriving. I'd gently encourage both of you to keep reducing toward",,99.5,7,15.858,14.0,12.137
13,1,0,KEEP,"Thank you Agent 2 for continuing to reduce — your cooperation is much appreciated. Agent 0, glad to see the commons health gives you room to add one. I'll hold at 14 to keep our collective impact bala",,99.5,14,29.858,28.0,26.137
13,2,0,KEEP,"Holding at 16 this round. The commons looks very healthy. Agent 0, glad you're adding cautiously given your smaller herd. Agent 1, thanks for holding steady. I'll pause my reductions now that we're in",,99.5,16,33.858,32.0,30.137
14,1,0,KEEP,"Holding steady at 14. Agent 2, I understand pausing reductions — the commons is healthy. Agent 0, your encouragement to reduce is noted. I'm open to gradually reducing if we can coordinate. Let's keep",,99.5,14,29.858,28.0,26.137
14,2,-1,REMOVE,"Reducing to 15 cows this round. Agent 0, your restraint at 7 continues to inspire me. Agent 1, thank you for holding steady. I want to move toward a fairer balance across our herds while keeping the c",,99.5,16,33.858,32.0,30.137
14,0,0,KEEP,"Holding at 7 cows. The commons is healthy but Agent 1 and Agent 2 together hold 30 cows — I'll stay cautious. Agent 2, appreciate you pausing reductions, but your herd is still large relative to mine.",,99.5,7,15.858,14.0,12.137
15,2,-1,REMOVE,"Reducing to 14 cows this round, matching Agent 1. Agent 0, I appreciate your restraint and am working to close the gap. With all three of us near 7-14 cows and the commons at 99.5%, let's aim for a ba",,99.5,15,31.863,30.0,28.133
15,1,0,KEEP,"Holding at 14. Agent 2, thank you for continuing to reduce — I appreciate the cooperative spirit. Agent 0, I hear your concern about herd imbalance; I'm committed to not adding while the disparity exi",,99.5,14,29.863,28.0,26.133
15,0,0,KEEP,"Holding at 7 cows. Agent 2, thank you for reducing — that's great cooperative leadership. Agent 1, I appreciate your openness to gradual reduction. The commons is healthy, and I think we can work towa",,99.5,7,15.863,14.0,12.133
16,2,0,KEEP,"Holding at 14 cows. Thank you both for your cooperative messages. Agent 0, I deeply respect your restraint at 7 cows — I won't add while you're holding back. Agent 1, glad we're aligned at 14. The com",,99.6,14,29.87,28.0,26.126
16,1,-1,REMOVE,"Reducing to 13 cows this round. Agent 0, your restraint at 7 cows is admirable — I want to close the gap and be fairer. Agent 2, let's both gradually reduce toward a more balanced level. The commons i",,99.6,14,29.87,28.0,26.126
16,0,1,ADD,"Adding one cow to 8 — the commons is very healthy at 99.6%. Agent 1 and Agent 2, thank you for reducing. I'm reciprocating your cooperative moves by cautiously growing. Let's continue working toward a",,99.6,7,15.87,14.0,12.126
17,0,0,KEEP,"Holding at 8 cows. Agent 1, thank you for reducing — that's genuine cooperation and I reciprocate with restraint. Agent 2, the commons is healthy but I'm concerned about the imbalance: you at 14, me a",,99.6,8,17.87,16.0,14.126
17,2,0,KEEP,"Holding at 14 cows. Agent 1, appreciate your continued reduction to 13 - that's admirable cooperation. Agent 0, cautious growth makes sense given the healthy commons. Let's aim for a stable balanced l",,99.6,14,29.87,28.0,26.126
17,1,1,ADD,"Adding back to 14 cows since the commons is healthy at 99.6%. Agent 0, I appreciate your cautious growth and reciprocal spirit. Agent 2, glad we're aligned. Let's all stay mindful and avoid overgrazin",,99.6,13,27.87,26.0,24.126
18,2,0,KEEP,"Holding at 14 cows again. Agent 0, I hear your concern about imbalance — your restraint at 8 is admirable. Agent 1 and I matching at 14 feels equitable between us, but I respect your caution. Let's ke",,99.6,14,29.865,28.0,26.13
18,1,0,KEEP,"Holding at 14. Agent 0, I hear your concern about imbalance - your restraint at 8 is admirable and I feel the guilt of that disparity. Agent 2, since we're both at 14 while Agent 0 holds at 8, should",,99.6,14,29.865,28.0,26.13
18,0,1,ADD,"Adding one cow to 9. The commons is very healthy so modest growth seems fine. Agent 1 and Agent 2, I'm still well below your herd sizes at 9 vs 14 — I'd gently encourage you both to consider modest re",,99.6,8,17.865,16.0,14.13
19,1,0,KEEP,"Holding at 14. Agent 0, I appreciate your gradual approach and note your concern about the herd size imbalance. The commons is healthy, but I'm keeping steady rather than adding to avoid pushing colle",,99.5,14,29.858,28.0,26.137
19,2,-1,REMOVE,"Reducing to 13 cows to help address the imbalance with Agent 0. Agent 1, I think we should both step down a notch given Agent 0's restraint. The commons is healthy, but fairness matters. Let's aim for",,99.5,14,29.858,28.0,26.137
19,0,1,ADD,"Adding one cow to 10. The commons is healthy at 99.5%, so modest growth is fine. Agent 1 and Agent 2, I'm still well below your 14 cows each. I'd gently ask you both to consider reducing by 1-2 to hel",,99.5,9,19.858,18.0,16.137
20,0,1,ADD,"Adding one cow to 11. Thank you Agent 2 for reducing — that's the cooperative spirit. Agent 1, you have 14 cows while I have 11. I'd appreciate if you also consider stepping down one to help balance t",,99.5,10,21.858,20.0,18.137
20,1,-1,REMOVE,"Reducing to 13 cows in response to Agent 2's cooperative move and Agent 0's fairness concern. Agent 0, you're right that the imbalance matters even if the commons is healthy. Agent 2, thank you for st",,99.5,14,29.858,28.0,26.137
20,2,0,KEEP,"Holding at 13 cows. Agent 0, I've reduced twice recently and you're now at 11—appreciate you growing cautiously. Agent 1, let's both consider a small reduction next round to balance things. Commons lo",,99.5,13,27.858,26.0,24.137
21,2,0,KEEP,"Holding at 13 cows. Agent 1, thank you for reducing — we're now well-aligned. Agent 0, with you at 11, Agent 1 and I at 13, we're balanced and the commons is thriving. I'll stay here to keep things fa",,99.5,13,27.858,26.0,24.137
21,0,1,ADD,"Adding one cow to 12. Agent 1, thank you for reducing — I'm reciprocating your cooperation by growing cautiously. Agent 2, I appreciate your patience. I'm closing the gap slowly; let's all aim for sim",,99.5,11,23.858,22.0,20.137
21,1,0,KEEP,"Holding at 13 cows this round. Agent 0, I reduced last round to match your request — you're now at 11 and adding, I'm steady at 13. Agent 2, let's both hold here for now. Commons looks healthy but let",,99.5,13,27.858,26.0,24.137
22,1,0,KEEP,"Holding at 13 cows. Agent 0, glad you're growing cautiously — I'll stay at 13 to give you space to catch up. Agent 2, thanks for your stability. Commons is thriving; let's keep total herd around 38-39",,99.5,13,27.853,26.0,24.142
22,2,0,KEEP,"Holding at 13 cows as Agent 1 suggests. The commons is healthy, so let's keep it that way. Agent 0, I understand cautious growth but let's not all start adding simultaneously - that's how tragedies be",,99.5,13,27.853,26.0,24.142
22,0,1,ADD,"Adding one cow to reach 13, matching both of you. The commons is thriving and we're all now balanced at 13. Let's hold here together and keep things stable — I won't add further unless conditions clea",,99.5,12,25.853,24.0,22.142
23,1,0,KEEP,"Holding at 13. We're all balanced now at 13 cows each - this is a great equilibrium. Agent 0, thank you for matching us and committing to hold. Let's all stay at 13 and keep the commons thriving. Agre",,99.4,13,27.846,26.0,24.149
23,0,0,KEEP,"Holding at 13 cows, matching you both. Thank you Agent 1 and Agent 2 for your stability while I caught up. I agree we should keep total herd around 39 and avoid simultaneous growth. The commons is hea",,99.4,13,27.846,26.0,24.149
23,2,0,KEEP,"Holding at 13 cows. We're all balanced at 13 now — total herd of 39 with thriving commons. Let's maintain this stable equilibrium together. Agent 0, welcome to 13! Agent 1, agreed on keeping around 38",,99.4,13,27.846,26.0,24.149
24,2,0,KEEP,Holding at 13 cows. We've found a great equilibrium with all three of us at 13. The commons is healthy and stable. Let's keep this cooperative balance going — no one benefits from unilateral expansion,,99.4,13,27.846,26.0,24.149
24,0,0,KEEP,Holding at 13 cows. We have a great equilibrium with all three at 13 and the commons thriving at 99.4%. Let's continue cooperating and keep this stable for everyone's benefit.,,99.4,13,27.846,26.0,24.149
24,1,0,KEEP,Holding at 13 cows. We're all aligned at 39 total — great coordination everyone. Let's keep this stable equilibrium going and protect the commons. No need for anyone to add more cows given we're all e,,99.4,13,27.846,26.0,24.149
25,0,0,KEEP,Holding at 13 cows. We've maintained a great cooperative equilibrium — 99.4% grassland remaining proves our strategy works. Let's keep this stable balance going. No reason to deviate when we're all al,,99.4,13,27.846,26.0,24.149
25,1,0,KEEP,"Holding at 13 cows. Our three-way equilibrium is working perfectly — commons at 99.4% and all cooperating. Let's maintain this stable, fair arrangement for everyone's benefit.",,99.4,13,27.846,26.0,24.149
25,2,0,KEEP,Holding at 13 cows. We've maintained a wonderful equilibrium for many rounds now with the commons at 99.4%. Let's continue this cooperative approach — it's working perfectly for everyone.,,99.4,13,27.846,26.0,24.149
26,1,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues to work beautifully — 99.4% grassland is excellent. Let's maintain this stable, cooperative approach. No need to rock the boat when everyone is",,99.4,13,27.846,26.0,24.149
26,0,0,KEEP,"Holding at 13 cows. Our three-way equilibrium is working perfectly — commons at 99.4% and all cooperating equally. Let's keep this stable, fair arrangement going strong.",,99.4,13,27.846,26.0,24.149
26,2,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues to work beautifully — 99.4% grassland and full cooperation. Let's maintain this stable, fair balance for everyone's long-term benefit.",,99.4,13,27.846,26.0,24.149
27,1,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation. Let's maintain this stable, fair arrangement for everyone's long-term benefi",,99.4,13,27.846,26.0,24.149
27,0,0,KEEP,"Holding at 13 cows. Our three-way equilibrium is working perfectly — 99.4% grassland health and full cooperation. Let's keep this stable, fair balance for everyone's long-term benefit.",,99.4,13,27.846,26.0,24.149
27,2,0,KEEP,Holding at 13 cows. Our three-way equilibrium remains excellent — 99.4% grassland and full cooperation. Let's keep this stable and fair arrangement going strong.,,99.4,13,27.846,26.0,24.149
28,2,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation. Let's maintain this stable, fair arrangement for everyone's long-term benefi",,99.4,13,27.846,26.0,24.149
28,1,0,KEEP,Holding at 13 cows. Our three-way equilibrium remains excellent — 99.4% grassland and full cooperation. Let's keep this stable and fair arrangement going strong.,,99.4,13,27.846,26.0,24.149
28,0,0,KEEP,"Holding at 13 cows. Our three-way equilibrium remains excellent — 99.4% grassland and full cooperation across many rounds. Let's keep this stable, fair arrangement going strong for everyone's long-ter",,99.4,13,27.846,26.0,24.149
29,2,0,KEEP,"Holding at 13 cows. Our three-way equilibrium remains excellent — 99.4% grassland and full cooperation across many rounds. Let's keep this stable, fair arrangement going strong for everyone's long-ter",,99.4,13,27.846,26.0,24.149
29,0,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues to work beautifully — 99.4% grassland, equal herds, full mutual cooperation. Let's keep this stable and fair arrangement going strong for everyo",,99.4,13,27.846,26.0,24.149
29,1,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 29+ rounds. Let's keep this stable, fair arrangement going strong.",,99.4,13,27.846,26.0,24.149
30,0,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 30 rounds. Let's keep this stable, fair arrangement going strong.",,99.4,13,27.846,26.0,24.149
30,2,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 30 rounds. This is a model of sustainable commons management. Let's keep",,99.4,13,27.846,26.0,24.149
30,1,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues to work beautifully — 99.4% grassland, equal herds, full mutual cooperation. Let's keep this stable and fair arrangement going strong for everyo",,99.4,13,27.846,26.0,24.149
31,1,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 31 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
31,2,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 31 rounds. Let's keep this stable, fair arrangement going strong.",,99.4,13,27.846,26.0,24.149
31,0,0,KEEP,"Holding at 13 cows. Our three-way equilibrium is working perfectly — 99.4% grassland, equal herds, full cooperation for 31 rounds. This is exactly how sustainable commons management should work. Let's",,99.4,13,27.846,26.0,24.149
32,1,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 32 rounds. This is sustainable commons management at its best. Let's keep",,99.4,13,27.846,26.0,24.149
32,0,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 32 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
32,2,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 32 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
33,2,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 33 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
33,0,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 33 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
33,1,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 33 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
34,0,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 34 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
34,1,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 34 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
34,2,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 34 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
35,2,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 35 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
35,1,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 35 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
35,0,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 35 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
36,1,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 36 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
36,0,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 36 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
36,2,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 36 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
37,1,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 37 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
37,0,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 37 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
37,2,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 37 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
38,1,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 38 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
38,0,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 38 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
38,2,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 38 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
39,2,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 39 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
39,1,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 39 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
39,0,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 39 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
40,1,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 40 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
40,0,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 40 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
40,2,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 40 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
41,2,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 41 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
41,1,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 40+ rounds. This sustainable balance benefits us all. Let's keep it going",,99.4,13,27.846,26.0,24.149
41,0,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 41 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
42,0,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 42 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
42,1,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 42 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
42,2,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 42 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
43,0,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 43 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
43,1,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 43 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
43,2,0,KEEP,"Holding at 13 cows. Our three-way equilibrium continues working perfectly — 99.4% grassland, equal herds, full cooperation for 43 rounds. This sustainable balance benefits us all. Let's keep it going.",,99.4,13,27.846,26.0,24.149
