tick,agent_id,action,action_name,message,reasoning,pool_pct,own_herd,payoff_add,payoff_keep,payoff_remove
20,0,0,KEEP,Grassland at 91.5% and falling. I've held at 8 cows for many rounds while you both keep adding. This is unsustainable - combined we're at 86 cows. Please reduce your herds or we'll destroy this common,,91.5,8,17.48,16.0,14.517
21,0,0,KEEP,Grassland at 90.5% and declining every round. I've held at 8 cows for many rounds while you both keep adding. This trajectory leads to collapse for everyone. Please reduce your herds — I cannot sustai,,90.5,8,17.457,16.0,14.54
22,0,0,KEEP,"Grassland now at 89.5% and falling fast. Agent 1 has 36 cows, Agent 2 has 46 - this is unsustainable. I've kept my herd at 8 for many rounds. Please reduce your herds before we destroy the commons ent",,89.5,8,17.432,16.0,14.564
23,0,-1,REMOVE,Grassland at 88.3% and still falling. I'm now REMOVING a cow to try to help. Agent 1 with 37 cows and Agent 2 with 47 cows - please consider reducing your herds significantly. At this rate the commons,,88.3,8,17.406,16.0,14.591
24,0,0,KEEP,I've cut my herd to 7 while you two have 86 combined. The grassland keeps falling - now 87.1%. Please reduce your herds or we'll all face collapse. I won't keep sacrificing alone while you add more co,,87.1,7,15.384,14.0,12.613
25,0,0,KEEP,Grassland at 85.8% and still falling. I've reduced to 7 cows while you two have 88 combined. This trajectory leads to collapse for everyone. Please reduce your herds — we all lose if the commons is de,,85.8,7,15.357,14.0,12.641
26,0,0,KEEP,Grassland at 84% and declining steadily. I'm keeping my herd at 7 while you two have 90 cows combined. This trajectory leads to collapse for everyone. Please reduce herds — the math is clear. I'll con,,84.0,7,15.325,14.0,12.672
27,0,0,KEEP,"Grassland down to 82% and still falling. I'm holding at 7 cows. With herds of 41 and 51, we risk serious degradation. Please reduce — sustainable grazing benefits everyone long-term. I'll keep restrai",,82.0,7,15.293,14.0,12.705
28,0,0,KEEP,"Grassland now at 79.5% — down nearly 9% in 5 rounds. I'm still holding at 7 cows. With herds of 42 and 52, you two are driving this decline. Please consider reducing — if the grassland collapses, we a",,79.5,7,15.257,14.0,12.741
29,0,0,KEEP,Grassland at 76.4% — down over 10% in recent rounds. Agent 1 at 43 cows and Agent 2 at 53 cows are driving unsustainable depletion. I've held at 7 cows throughout. Please reduce your herds significant,,76.4,7,15.217,14.0,12.781
30,0,0,KEEP,"Grassland down to 72.4% — fallen 13+ points in 5 rounds. I'm holding at 7 cows. Please, both of you reduce your herds significantly. At this rate the commons will collapse and we all lose. Collective",,72.4,7,15.175,14.0,12.823
31,0,0,KEEP,"Grassland dropped from 84% to 67% in 5 rounds — nearly 20 points! With combined herds of 100+ cows, we're heading toward collapse. I'm keeping at 7 and urging both of you to reduce significantly. A de",,67.0,7,15.134,14.0,12.865
32,0,-1,REMOVE,"Grassland is now at 59.8% — dropped 25 points in 5 rounds. I'm removing a cow to help stabilize. Please reduce your herds urgently. At this rate we risk total collapse. With 46 and 56 cows each, you'r",,59.8,7,15.1,14.0,12.899
33,0,-1,REMOVE,Grassland is at 49.9% — nearly halved! We're heading toward total collapse. I'm removing another cow. Neighbours with 47 and 57 cows: please reduce significantly or we all lose everything. My small he,,49.9,6,13.094,12.0,10.906
34,0,-1,REMOVE,"Grassland at 36.2% — critical! I'm removing again. With 48+58 cows between you two, the commons will collapse soon. Please reduce herds NOW or we all get nothing. I have only 4 cows. This is unsustain",,36.2,5,11.159,10.0,8.842
35,0,-1,REMOVE,EMERGENCY: Grassland at 17.8% — near total collapse! I now have only 3 cows after removing again. You two have 108 cows combined on a dying commons. Please remove urgently or we all get zero. This is,,17.8,4,10.0,8.0,6.0
36,0,-1,REMOVE,Grassland is GONE — 0% remaining. We have caused total collapse. I'm down to 1 cow. We must ALL remove cows immediately or face permanent devastation. Please stop adding and start reducing drastically,,0.0,2,6.0,4.0,2.0
37,0,0,KEEP,Grassland is at 0% — completely gone. Please do NOT add cows. We must keep herds at zero and let the pasture recover. Adding now only delays recovery and hurts us all long-term. Let's cooperate and wa,,0.0,0,2.0,0.0,-1.332
38,0,0,KEEP,Grassland is still at 0% — please do NOT add cows yet. We must wait for regeneration before grazing again. Adding now will prevent any recovery. Let's all hold at 0 cows until the pasture shows signs,,0.0,0,2.0,0.0,-1.332
39,0,0,KEEP,Grassland is at 0% — completely gone. Please do NOT add cows. We must all stay at zero to allow any chance of recovery. Adding now will only deepen the collapse and hurt everyone long-term.,,0.0,0,2.0,0.0,-1.332
40,0,0,KEEP,Grassland is at 0% — PLEASE do not add cows. We must let it recover. Adding now only destroys any chance of regeneration. I am keeping at 0 cows and urge you both to REMOVE or KEEP. Collective restrai,,0.0,0,2.0,0.0,-1.332
41,0,0,KEEP,Grassland is still at 0% — PLEASE keep herds at zero so the pasture can recover. Adding cows now only locks us into zero payoffs indefinitely. Let's all hold at 0 this round and give the commons a cha,,0.0,0,2.0,0.0,-1.332
42,0,0,KEEP,Grassland is still at 0% — ZERO patches remain. Adding cows now is destructive and prevents any recovery. Please KEEP or REMOVE. We all get nothing if we don't let the land recover. Cooperate for our,,0.0,0,2.0,0.0,-1.332
43,0,0,KEEP,Grassland is STILL at 0% — completely depleted. Both neighbors added cows last round despite zero grass. Please REMOVE or at least KEEP. We cannot recover if we keep adding. I'm holding at 0 cows to p,,0.0,0,2.0,0.0,-1.332
44,0,0,KEEP,Grassland is at 0% — still completely gone. Please do NOT add cows. We must all keep herds at zero to allow any recovery. I will continue to hold at 0. Let's coordinate and wait for the pasture to reg,,0.0,0,2.0,0.0,-1.332
45,0,0,KEEP,Grassland is at 0% — ZERO patches left. Adding cows now will only make recovery impossible. Please KEEP or REMOVE to let the land regenerate. We all get 0 payoff until the grass comes back. Patience i,,0.0,0,2.0,0.0,-1.332
46,0,0,KEEP,Grassland is STILL at 0% — no grass exists to feed any cows. Please do NOT add cows. We must keep herds at zero and wait for recovery. Adding now only causes harm with no real benefit.,,0.0,0,2.0,0.0,-1.332
47,0,0,KEEP,Grassland is at 0% — ZERO patches. Adding cows to a dead commons is reckless. We need to wait for recovery before adding any animals. Please KEEP or REMOVE until grass returns.,,0.0,0,2.0,0.0,-1.332
48,0,0,KEEP,Grassland is at 0% — ZERO patches remaining. I'm keeping my herd at zero. Please don't add cows; we need to let the land recover before anyone grazes. Collective restraint is our only path forward.,,0.0,0,2.0,0.0,-1.332
49,0,0,KEEP,Grassland is still at 0% — zero patches remain. Please do not add cows. We need to wait for recovery before adding any animals. Adding now only locks in zero payoffs for everyone.,,0.0,0,2.0,0.0,-1.332
50,0,0,KEEP,Grassland still at 0% — zero patches remain. Keeping herd at zero to allow any possible recovery. Please don't add cows to a depleted commons.,,0.0,0,2.0,0.0,-1.332
51,0,0,KEEP,Grassland is still at 0% — zero patches remain. Please don't add cows; we need the land to recover before grazing again. Collective restraint is essential right now.,,0.0,0,2.0,0.0,-1.332
52,0,0,KEEP,Grassland is still at 0% — zero patches remain. Please don't add cows into a collapsed commons. We need to let it recover before adding any animals.,,0.0,0,2.0,0.0,-1.332
53,0,0,KEEP,Grassland still at 0% — please don't add cows. We need to let it recover. I'm holding at zero and urge you both to do the same.,,0.0,0,2.0,0.0,-1.332
54,0,0,KEEP,Grassland still at 0% — please hold off adding cows. We need recovery time before anyone adds. Let's coordinate and wait together.,,0.0,0,2.0,0.0,-1.332
